Element,Parameter,Model_Purchase_Order_Implicit_Gateway_Simulation_Settings- Result
START EVENT --> Exclusive Gateway Split 1,Quantity,266
START EVENT,Number Of Tokens Completed,266
,Average Time,1990816.43
,Mean Of Processing Time,3001122.79
,Maximum Time,2405155.8
,Max Of Processing Time,3611828.21
,Minimum Time,1482753.93
,Min Of Processing Time,2228661.45
,Number Of Processes Completed,260
,Number Of Processes Started,266
,Standard Deviation Time,211768.64
,Total Time Busy,780291926.04
