Index,Token ID,Element,Action,Relative Time,Absolute Time
1261, 040,END EVENT,Leave,14994406,03/01/2008
1262, 042,Record Invoice Receipt,Leave,15061231,03/01/2008
1263, 042,Parallel Gateway Join,Enter,15061231,03/01/2008
1264, 042,Parallel Gateway Join,Leave,15061231,03/01/2008
1265, 042,Clear Invoice,Enter,15061231,03/01/2008
1266, 047,START EVENT,Enter,15111733,03/01/2008
1267, 047,START EVENT,Leave,15111733,03/01/2008
1268, 047,Exclusive Gateway Split 1,Enter,15111733,03/01/2008
1269, 047,Exclusive Gateway Split 1,Leave,15111733,03/01/2008
1270, 047,Create Purchase Requisition,Enter,15111733,03/01/2008
1271, 047,Create Purchase Requisition,Leave,15127288,03/01/2008
1272, 047,Create Purchase Order,Enter,15127288,03/01/2008
1273, 047,Create Purchase Order,Leave,15230922,03/01/2008
1274, 047,Exclusive Gateway Split 2,Enter,15230922,03/01/2008
1275, 047,Exclusive Gateway Split 2,Leave,15230922,03/01/2008
1276, 047,Print and Send Purchase Order (Paper),Enter,15230922,03/01/2008
1277, 047,Print and Send Purchase Order (Paper),Leave,15230927,03/01/2008
1278, 047,Exclusive Gateway Split 3,Enter,15230927,03/01/2008
1279, 047,Exclusive Gateway Split 3,Leave,15230927,03/01/2008
1280, 047,Receive Order Confirmation,Enter,15230927,03/01/2008
1281, 043,Record Goods Receipt,Leave,15301592,03/01/2008
1282, 043,Parallel Gateway Join,Enter,15301592,03/01/2008
1283, 046,Receive Order Confirmation,Leave,15317051,03/01/2008
1284, 046,Parallel Gateway Split,Enter,15317051,03/01/2008
1285, 046,Parallel Gateway Split,Leave,15317051,03/01/2008
1286, 046,Record Invoice Receipt,Enter,15317051,03/01/2008
1287, 046,Parallel Gateway Split,Leave,15317051,03/01/2008
1288, 046,Record Goods Receipt,Enter,15317051,03/01/2008
1289, 041,Clear Invoice,Leave,15371732,03/01/2008
1290, 041,END EVENT,Enter,15371732,03/01/2008
1291, 041,END EVENT,Leave,15371732,03/01/2008
1292, 043,Record Invoice Receipt,Leave,15373414,03/01/2008
1293, 043,Parallel Gateway Join,Enter,15373414,03/01/2008
1294, 043,Parallel Gateway Join,Leave,15373414,03/01/2008
1295, 043,Clear Invoice,Enter,15373414,03/01/2008
1296, 048,START EVENT,Enter,15435188,03/01/2008
1297, 048,START EVENT,Leave,15435188,03/01/2008
1298, 048,Exclusive Gateway Split 1,Enter,15435188,03/01/2008
1299, 048,Exclusive Gateway Split 1,Leave,15435188,03/01/2008
1300, 048,Create Purchase Requisition,Enter,15435188,03/01/2008
1301, 048,Create Purchase Requisition,Leave,15453373,03/01/2008
1302, 048,Create Purchase Order,Enter,15453373,03/01/2008
1303, 044,Record Goods Receipt,Leave,15517824,03/01/2008
1304, 044,Parallel Gateway Join,Enter,15517824,03/01/2008
1305, 042,Clear Invoice,Leave,15536088,03/01/2008
1306, 042,END EVENT,Enter,15536088,03/01/2008
1307, 042,END EVENT,Leave,15536088,03/01/2008
1308, 048,Create Purchase Order,Leave,15572973,03/01/2008
1309, 048,Exclusive Gateway Split 2,Enter,15572973,03/01/2008
1310, 048,Exclusive Gateway Split 2,Leave,15572973,03/01/2008
