Element,Parameter,Model_Purchase_Order_Explicit_Gateway_Simulation_Settings- Result
ResourcesRole3,Number Started Immediately,157
ResourcesRole3,Total Time Available,2762035200
ResourcesRole3,Total Time Busy,774.29
ResourcesRole3,Total Time For Task,774.29
ResourcesRole3,Total Time Idle,2762034425.71
ResourcesRole4,Average Number Available,69.2
ResourcesRole4,Degree Of Utilisation,1.14%
ResourcesRole4,Number Completed,180
ResourcesRole4,Number Started,181
ResourcesRole4,Number Started Immediately,181
ResourcesRole4,Total Time Available,6041952000
ResourcesRole4,Total Time Busy,68825733.65
ResourcesRole4,Total Time For Task,68825733.65
ResourcesRole4,Total Time Idle,5973126266.35
ResourcesRole5,Average Number Available,316.54
ResourcesRole5,Degree Of Utilisation,1.08%
ResourcesRole5,Number Completed,261
ResourcesRole5,Number Started,265
ResourcesRole5,Number Started Immediately,265
ResourcesRole5,Total Time Available,27620352000
ResourcesRole5,Total Time Busy,298918998.64
ResourcesRole5,Total Time For Task,298918998.64
ResourcesRole5,Total Time Idle,27321433001.36
ResourcesRole6,Average Number Available,316.88
ResourcesRole6,Degree Of Utilisation,0.98%
ResourcesRole6,Number Completed,262
ResourcesRole6,Number Started,265
ResourcesRole6,Number Started Immediately,265
ResourcesRole6,Total Time Available,27620352000
ResourcesRole6,Total Time Busy,269481742.42
ResourcesRole6,Total Time For Task,269481742.42
ResourcesRole6,Total Time Idle,27350870257.59
ResourcesRole7,Average Number Available,138.65
ResourcesRole7,Degree Of Utilisation,0.96%
ResourcesRole7,Number Completed,260
ResourcesRole7,Number Started,261
ResourcesRole7,Number Started Immediately,261
ResourcesRole7,Total Time Available,12083904000
ResourcesRole7,Total Time Busy,116091926.46
ResourcesRole7,Total Time For Task,116091926.46
ResourcesRole7,Total Time Idle,11967812073.54
START EVENT --> Exclusive Gateway Split 1,Quantity,266
START EVENT,Number Of Tokens Completed,266
,Average Time,1988510.13
,Mean Of Processing Time,2989680.54
,Maximum Time,2354186.17
,Max Of Processing Time,3483067.65
,Minimum Time,1471728.96
,Min Of Processing Time,2369252.4
,Number Of Processes Completed,260
,Number Of Processes Started,266
,Standard Deviation Time,204370.33
,Total Time Busy,777316940.8
